Score,Ranked,Genres,Type,Episodes,Diffusion started,Diffusion ended,Season diffused,Producers,Licensors,Studios,Source,Rating,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Year
6.53,3379,"Action, Mecha, Sci-Fi, Shounen",TV,48.0,1990-02-03,1991-01-26,Winter 1990,Nagoya Broadcasting Network,Unknown,Sunrise,Original,G - All Ages,1718,8,129,494.0,98,129.0,868.0,1990.0
6.53,3380,"Action, Adventure, Comedy, Mecha, Sci-Fi, Seinen",TV,12.0,1998-01-07,1998-03-25,Winter 1998,Movic,"ADV Films, Discotek Media",Production Reed,Original,PG-13 - Teens 13 or older,6116,7,241,3006.0,328,358.0,2183.0,1998.0
6.53,3381,"Action, Fantasy, Hentai, Supernatural",OVA,4.0,2008-03-28,2010-01-23,Winter 2008,"Pixy, Anime Antenna Iinkai",Unknown,Unknown,Visual novel,Rx - Hentai,3981,36,432,2078.0,197,184.0,1090.0,2008.0
6.53,3382,Comedy,ONA,13.0,2009-02-13,2009-05-08,Winter 2009,Kadokawa Shoten,"Funimation, Bandai Entertainment",Kyoto Animation,4-koma manga,G - All Ages,27283,42,718,20025.0,628,919.0,0.0,2009.0
6.53,3383,"Action, Comedy, Parody, Super Power, Demons, Supernatural, Magic, Ecchi",TV,12.0,2011-04-08,2011-06-24,Spring 2011,"Mainichi Broadcasting System, Dynamic Planning","NIS America, Inc.",Brain's Base,Manga,R - 17+ (violence & profanity),15493,21,980,5796.0,916,1991.0,5810.0,2011.0
6.53,3385,"Comedy, Ecchi, Harem, Romance, School",TV,12.0,2012-10-05,2012-12-21,Fall 2012,"Lantis, Media Factory, AT-X, DAX Production, Cospa, Sony Music Communications",Funimation,SILVER LINK.,Light novel,R+ - Mild Nudity,236709,405,13482,143557.0,6912,11565.0,61193.0,2012.0
6.53,3386,"Action, Sci-Fi, Comedy, Ecchi",TV,12.0,2016-01-08,2016-03-25,Winter 2016,"Lantis, Rakuonsha, AT-X, KlockWorx",Funimation,"Studio Gokumi, AXsiZ",Manga,PG-13 - Teens 13 or older,39751,81,3332,16090.0,2097,5177.0,13055.0,2016.0
6.53,3387,"Comedy, Parody",Special,7.0,2016-01-29,2016-07-29,Winter 2016,Avex Pictures,Unknown,10Gauge,Manga,PG-13 - Teens 13 or older,5487,8,356,2858.0,301,0.0,1780.0,2016.0
6.53,3389,Comedy,ONA,13.0,2017-10-03,2017-12-26,Fall 2017,"Frontier Works, Half H.P Studio, Nippon Columbia, Bandai Namco Entertainment, Anime Consortium Japan",Crunchyroll,"Gathering, Lesprit",4-koma manga,PG-13 - Teens 13 or older,3343,0,181,2073.0,69,0.0,922.0,2017.0
6.53,3390,"Action, Adventure, Sci-Fi",Movie,1.0,2017-11-17,2017-11-17,Fall 2017,"Toho, TOHO animation",Unknown,Polygon Pictures,Original,R - 17+ (violence & profanity),47508,73,767,33941.0,320,408.0,0.0,2017.0
6.53,3391,"Adventure, Comedy, Romance, Fantasy",TV,12.0,2018-01-10,2018-03-28,Winter 2018,AZ Creative,Sentai Filmworks,Studio Flad,Visual novel,PG-13 - Teens 13 or older,22025,71,2172,8041.0,794,2091.0,0.0,2018.0
6.53,3392,"Action, Fantasy",Special,1.0,2018-03-24,2018-03-24,Winter 2018,"Aniplex, Bandai Namco Entertainment, Good Smile Company, BS11, ABC Animation, Kinoshita Group Holdings, Kadokawa, Cromea, Sonilude",Aniplex of America,A-1 Pictures,Light novel,R - 17+ (violence & profanity),9192,10,430,5734.0,113,163.0,2752.0,2018.0
6.53,3393,"Action, Psychological, Supernatural, Mystery, Drama, Horror, Seinen",TV,12.0,2018-04-03,2018-06-19,Spring 2018,"Marvelous, TC Entertainment",Funimation,"Studio Pierrot, Pierrot Plus",Manga,R - 17+ (violence & profanity),698167,3569,59241,486747.0,14924,36291.0,100964.0,2018.0
6.53,3394,"Adventure, Comedy, Supernatural, Magic, Romance, Fantasy",ONA,16.0,2018-04-26,2018-08-09,Spring 2018,Tencent Animation & Comics,Unknown,"Haoliners Animation League, Pb Animation Co. Ltd.",Web manga,PG-13 - Teens 13 or older,9928,20,1279,2551.0,352,570.0,5176.0,2018.0
6.525,3395,"Slice of Life, School, Seinen",ONA,14.0,2017-06-05,2017-09-28,Spring 2017,"Production I.G, Anime Beans",Unknown,Unknown,Manga,G - All Ages,901,2,61,60.0,24,41.0,715.0,2017.0
6.52,3396,"Adventure, Drama, Magic",Movie,1.0,1968-07-21,1968-07-21,Summer 1968,Unknown,Discotek Media,Toei Animation,Other,G - All Ages,6641,12,107,4203.0,73,0.0,2171.0,1968.0
6.52,3397,"Adventure, Comedy, Mecha",TV,61.0,1975-10-04,1976-12-25,Fall 1975,Unknown,Unknown,Tatsunoko Production,Original,G - All Ages,1831,2,84,576.0,100,210.0,861.0,1975.0
6.52,3398,"Action, Shounen, Sports",TV,28.0,1977-09-12,1978-03-27,Summer 1977,Fuji TV,Unknown,Nippon Animation,Manga,PG-13 - Teens 13 or older,1138,3,68,340.0,52,102.0,576.0,1977.0
6.52,3399,"Action, Sci-Fi, Adventure, Romance, Mecha",TV,35.0,1983-07-03,1984-04-08,Summer 1983,"Tokyo Movie Shinsha, Victor Entertainment, Mainichi Broadcasting System, Studio Nue, Big West",Discotek Media,Artland,Original,PG-13 - Teens 13 or older,4601,14,265,1199.0,256,0.0,2695.0,1983.0
6.52,3400,"Action, Comedy, Super Power, Romance, School",TV,47.0,1984-02-07,1985-02-26,Winter 1984,TV Asahi,Unknown,Toei Animation,Manga,R+ - Mild Nudity,1969,6,143,507.0,112,159.0,1048.0,1984.0
6.52,3401,"Magic, Shoujo",OVA,1.0,1985-07-28,1985-07-28,Summer 1985,Unknown,Unknown,Production Reed,Unknown,G - All Ages,1533,5,35,745.0,31,58.0,664.0,1985.0
6.52,3402,"Adventure, Comedy, Fantasy, Mecha, Shounen, Supernatural",OVA,7.0,1992-05-02,1993-11-21,Spring 1992,"Movic, Sony Music Entertainment",Nozomi Entertainment,Gainax,Original,PG-13 - Teens 13 or older,2180,8,91,834.0,98,135.0,1022.0,1992.0
6.52,3403,Fantasy,TV,26.0,1995-04-07,1995-09-29,Spring 1995,Unknown,Unknown,Toei Animation,Unknown,G - All Ages,648,1,31,266.0,18,67.0,266.0,1995.0
6.52,3404,"Action, Adventure, Comedy, Supernatural, Vampire",TV,26.0,1997-09-30,1998-03-31,Summer 1997,"TV Tokyo, Sotsu, Zero-G Room",Unknown,Unknown,Manga,PG-13 - Teens 13 or older,3511,5,175,1538.0,197,260.0,1341.0,1997.0
6.52,3405,"Action, Fantasy, Sci-Fi",Movie,1.0,1997-11-22,1997-11-22,Fall 1997,Bandai Visual,Unknown,Studio 4°C,Original,G - All Ages,8218,17,127,5268.0,75,53.0,0.0,1997.0
6.52,3406,"Adventure, Comedy, Fantasy, Kids",OVA,2.0,1998-12-22,1998-12-22,Fall 1998,Unknown,4Kids Entertainment,OLM,Game,PG - Children,12059,7,108,9965.0,106,133.0,1747.0,1998.0
6.52,3407,"Adventure, Drama, Sci-Fi",TV,24.0,1999-10-16,2000-04-01,Fall 1999,Unknown,Unknown,Nippon Animation,Unknown,PG-13 - Teens 13 or older,1757,1,62,631.0,47,0.0,930.0,1999.0
6.52,3408,"Adventure, Comedy, Shounen",Special,1.0,2003-05-24,2003-05-24,Spring 2003,Unknown,Unknown,Studio Pierrot,Manga,PG-13 - Teens 13 or older,68025,137,528,60210.0,351,301.0,6635.0,2003.0
6.52,3409,"Comedy, Drama, Harem, Romance, School, Slice of Life",TV,13.0,2005-10-03,2005-12-26,Fall 2005,Unknown,Maiden Japan,OLM,Visual novel,PG-13 - Teens 13 or older,18154,37,761,8472.0,666,0.0,7506.0,2005.0
6.52,3410,"Action, Comedy, Mecha, Sci-Fi",TV,26.0,2007-04-03,2007-09-25,Spring 2007,Bandai Visual,Sentai Filmworks,Sunrise,Original,PG-13 - Teens 13 or older,20153,34,999,6785.0,1090,1702.0,0.0,2007.0
6.52,3411,"Action, Adventure, Fantasy, Magic",TV,13.0,2007-04-07,2007-06-30,Spring 2007,Sega,Discotek Media,Studio Deen,Game,PG-13 - Teens 13 or older,30910,74,1446,14829.0,1214,1983.0,11438.0,2007.0
6.52,3412,"Hentai, Supernatural",OVA,3.0,2007-07-25,2008-01-25,Summer 2007,Milky Animation Label,Kitty Media,Unknown,Visual novel,Rx - Hentai,6502,12,477,3653.0,319,229.0,1824.0,2007.0
6.52,3413,"Fantasy, Shoujo",TV,13.0,2009-10-05,2009-12-28,Fall 2009,"TV Tokyo, Aniplex, Lantis, DAX Production, TYO Animations",Unknown,Yumeta Company,Original,PG-13 - Teens 13 or older,17618,41,1051,7567.0,1036,2503.0,5461.0,2009.0
6.52,3414,"Comedy, Sports, Ecchi, School",TV,12.0,2011-04-08,2011-06-24,Spring 2011,"Geneon Universal Entertainment, Lantis, AT-X, KlockWorx, Studio Mausu",Sentai Filmworks,Xebec,Manga,R+ - Mild Nudity,21373,22,1242,9198.0,914,1995.0,8024.0,2011.0
6.52,3415,"Action, Demons, Supernatural",Movie,1.0,2011-04-29,2011-04-29,Spring 2011,"Sony Music Entertainment, Atelier Musa",Sony Pictures Entertainment,Studio Pierrot,Original,PG-13 - Teens 13 or older,11804,13,291,6478.0,141,0.0,4743.0,2011.0
6.52,3416,"Action, Comedy, Supernatural",Special,10.0,2012-01-27,2012-08-31,Winter 2012,Unknown,Funimation,Asread,Manga,R - 17+ (violence & profanity),50870,90,645,38653.0,608,629.0,10335.0,2012.0
6.52,3417,"Action, Drama, Yaoi",OVA,2.0,2012-02-29,2015-08-28,Winter 2012,Movic,Unknown,Unknown,Manga,R+ - Mild Nudity,16780,131,539,12035.0,173,291.0,3742.0,2012.0
6.52,3418,"Drama, Music",ONA,1.0,2013-11-16,2013-11-16,Fall 2013,Unknown,Unknown,Unknown,Unknown,G - All Ages,736,0,15,551.0,3,0.0,143.0,2013.0
6.52,3419,"Comedy, Ecchi, Fantasy, School",TV,12.0,2014-04-05,2014-06-21,Spring 2014,"Media Factory, AT-X, Sony Music Communications, Tsukuru no Mori",Funimation,C-Station,Light novel,R+ - Mild Nudity,170220,238,8723,118202.0,3753,0.0,31508.0,2014.0
6.52,3420,"Action, Game, Shounen",TV,48.0,2014-10-26,2015-10-04,Fall 2014,"TV Tokyo, Dentsu, Sotsu, Bushiroad",Unknown,TMS Entertainment,Card game,PG-13 - Teens 13 or older,11747,36,867,7147.0,502,0.0,0.0,2014.0
6.52,3421,"Thriller, Mystery, Sci-Fi",ONA,16.0,2014-11-28,2015-07-31,Fall 2014,Yaoqi,Unknown,Haoliners Animation League,Web manga,R - 17+ (violence & profanity),5288,7,395,1034.0,193,0.0,3378.0,2014.0
6.52,3422,"Sci-Fi, Adventure",TV,12.0,2016-07-09,2016-09-24,Summer 2016,"TV Tokyo, Studio Mausu",Funimation,WAO World,Book,PG - Children,14479,10,1107,5621.0,715,0.0,4876.0,2016.0
6.52,3423,"Action, Game, Fantasy",ONA,1.0,2016-12-03,2016-12-03,Fall 2016,Unknown,Unknown,Unknown,Game,PG - Children,2251,0,119,938.0,44,81.0,1069.0,2016.0
