Score,Ranked,Genres,Type,Episodes,Diffusion started,Diffusion ended,Season diffused,Producers,Licensors,Studios,Source,Rating,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Year
9.19,1,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",TV,64.0,2009-04-05,2010-07-04,Spring 2009,"Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Funimation, Aniplex of America",Bones,Manga,R - 17+ (violence & profanity),2248456,183914,171871,1644938.0,75728,32456.0,0.0,2009.0
9.17,2,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV,16.0,2020-12-07,,Fall 2020,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Funimation,MAPPA,Manga,R - 17+ (violence & profanity),733260,44862,566239,553.0,6658,2090.0,157720.0,2020.0
9.11,3,"Thriller, Sci-Fi",TV,24.0,2011-04-06,2011-09-14,Spring 2011,"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",Funimation,White Fox,Visual novel,PG-13 - Teens 13 or older,1771162,148452,114349,1134756.0,60926,0.0,425531.0,2011.0
9.1,4,"Action, Adventure, Fantasy, Shounen, Super Power",TV,148.0,2011-10-02,2014-09-24,Fall 2011,"VAP, Nippon Television Network, Shueisha",VIZ Media,Madhouse,Manga,PG-13 - Teens 13 or older,1673924,147274,227277,1094486.0,79587,31652.0,240922.0,2011.0
9.1,5,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51.0,2015-04-08,2016-03-30,Spring 2015,"TV Tokyo, Aniplex, Dentsu","Funimation, Crunchyroll",Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,404121,11868,48011,167130.0,16612,11472.0,160896.0,2015.0
9.1,6,"Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power",TV,10.0,2019-04-29,2019-07-01,Spring 2019,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Funimation,Wit Studio,Manga,R - 17+ (violence & profanity),1073626,40985,54607,906824.0,5533,3099.0,103563.0,2019.0
9.08,7,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",TV,51.0,2011-04-04,2012-03-26,Spring 2011,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha",Unknown,Sunrise,Manga,PG-13 - Teens 13 or older,365579,6567,26492,190008.0,10615,7084.0,131380.0,2011.0
9.07,8,"Military, Sci-Fi, Space, Drama",OVA,110.0,1988-01-08,1997-03-17,Winter 1988,"Kitty Films, K-Factory",Sentai Filmworks,"Artland, Magic Bus",Novel,R - 17+ (violence & profanity),230168,13834,25968,52583.0,14911,5950.0,130756.0,1988.0
9.04,9,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13.0,2012-10-04,2013-03-28,Fall 2012,"TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus",Unknown,Sunrise,Manga,PG-13 - Teens 13 or older,222819,2586,7800,143353.0,2753,2012.0,66901.0,2012.0
9.0,10,"Drama, School, Shounen",Movie,1.0,2016-09-17,2016-09-17,Summer 2016,"Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras","Eleven Arts, NYAV Post",Kyoto Animation,Manga,PG-13 - Teens 13 or older,1387607,62452,30379,1151644.0,4306,0.0,199329.0,2016.0
9.0,11,"Drama, Game, Seinen, Slice of Life",TV,22.0,2017-10-14,2018-03-31,Fall 2017,"Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace, Toy's Factory",Aniplex of America,Shaft,Manga,PG-13 - Teens 13 or older,266243,11133,20273,148885.0,7103,0.0,0.0,2017.0
8.99,12,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,12.0,2017-01-09,2017-03-27,Winter 2017,"TV Tokyo, Aniplex, Dentsu, Shueisha",Unknown,Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,201735,2397,11770,115105.0,3388,0.0,69199.0,2017.0
8.96,13,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201.0,2006-04-04,2010-03-25,Spring 2006,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha","Sentai Filmworks, Crunchyroll",Sunrise,Manga,PG-13 - Teens 13 or older,754607,48247,149543,230260.0,87145,39531.0,248128.0,2006.0
8.96,14,"Slice of Life, Comedy, Supernatural, Drama, Romance",TV,24.0,2008-10-03,2009-03-27,Fall 2008,"Pony Canyon, TBS, Rakuonsha, Animation Do",Sentai Filmworks,Kyoto Animation,Visual novel,PG-13 - Teens 13 or older,915885,62162,29361,641323.0,16504,13224.0,215473.0,2008.0
8.96,15,"Romance, Supernatural, School, Drama",Movie,1.0,2016-08-26,2016-08-26,Summer 2016,"Toho, Sound Team Don Juan, Amuse, JR East Marketing & Communications, Kadokawa, voque ting","Funimation, NYAV Post",CoMix Wave Films,Original,PG-13 - Teens 13 or older,1726660,71054,40773,1462143.0,4746,2463.0,0.0,2016.0
8.93,16,"Mystery, Comedy, Supernatural, Vampire",TV,7.0,2017-08-12,2017-08-13,Summer 2017,"Aniplex, Kodansha",Aniplex of America,Shaft,Light novel,R - 17+ (violence & profanity),270878,6113,11467,159101.0,3700,0.0,94913.0,2017.0
8.91,17,"Action, Military, Sci-Fi, Super Power, Drama, Mecha",TV,25.0,2008-04-06,2008-09-28,Spring 2008,"Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Funimation, Bandai Entertainment",Sunrise,Original,R - 17+ (violence & profanity),1268320,64482,38149,1060730.0,17673,12463.0,139305.0,2008.0
8.87,18,"Comedy, Sports, Drama, School, Shounen",TV,10.0,2016-10-08,2016-12-10,Fall 2016,"TOHO animation, Shueisha",Sentai Filmworks,Production I.G,Manga,PG-13 - Teens 13 or older,727240,12830,27904,619835.0,5355,0.0,71018.0,2016.0
8.86,19,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",TV,14.0,2018-07-09,2018-10-08,Summer 2018,"TV Tokyo, Aniplex, Dentsu, Shueisha",Unknown,Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,114591,938,6282,67276.0,1748,0.0,38205.0,2018.0
8.84,20,"Action, Slice of Life, Comedy, Supernatural",TV,13.0,2019-01-07,2019-04-01,Winter 2019,"Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan",Funimation,Bones,Web manga,PG-13 - Teens 13 or older,835688,20654,56740,623709.0,10988,4045.0,140206.0,2019.0
8.83,21,"Adventure, Supernatural, Drama",Movie,1.0,2001-07-20,2001-07-20,Summer 2001,Toho,"Walt Disney Studios, GKIDS",Studio Ghibli,Original,PG - Children,1245727,25610,14444,1124666.0,3124,1437.0,102056.0,2001.0
8.81,22,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,12.0,2018-01-08,2018-03-26,Winter 2018,"TV Tokyo, Aniplex, Dentsu, Shueisha",Unknown,Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,126835,1060,8073,75576.0,2100,1260.0,39826.0,2018.0
8.79,23,"Drama, Historical, Josei",TV,12.0,2017-01-07,2017-03-25,Winter 2017,"Mainichi Broadcasting System, Kodansha, DAX Production, King Records",Unknown,Studio Deen,Manga,PG-13 - Teens 13 or older,140007,2623,9332,57236.0,4650,2887.0,0.0,2017.0
8.79,24,"Action, Supernatural, Magic, Fantasy",Movie,1.0,2020-08-15,2020-08-15,Summer 2020,"Aniplex, Notes, Kadokawa",Aniplex of America,ufotable,Visual novel,R - 17+ (violence & profanity),127531,2065,3663,19886.0,1396,0.0,102336.0,2020.0
8.78,25,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26.0,1998-04-03,1999-04-24,Spring 1998,Bandai Visual,"Funimation, Bandai Entertainment",Sunrise,Original,R - 17+ (violence & profanity),1251960,61971,105808,718161.0,71513,26678.0,329800.0,1998.0
8.78,26,"Mystery, Comedy, Supernatural, Romance, Vampire",TV,26.0,2013-07-07,2013-12-29,Summer 2013,"Aniplex, Kodansha, Cyclone Graphics",Aniplex of America,Shaft,Light novel,R - 17+ (violence & profanity),509401,19644,34059,336572.0,15731,5433.0,117606.0,2013.0
8.76,27,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74.0,2004-04-07,2005-09-28,Spring 2004,"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",VIZ Media,Madhouse,Manga,R+ - Mild Nudity,614100,29436,64648,214491.0,47488,0.0,0.0,2004.0
8.75,28,"Comedy, Sports, Drama, Shounen",TV,75.0,2000-10-04,2002-03-27,Fall 2000,VAP,"Discotek Media, Geneon Entertainment USA",Madhouse,Manga,PG-13 - Teens 13 or older,383603,15543,30922,221671.0,19458,0.0,101892.0,2000.0
8.74,29,"Drama, Music, Romance, School, Shounen",TV,22.0,2014-10-10,2015-03-20,Fall 2014,"Aniplex, Dentsu, Kodansha, Fuji TV, Kyoraku Industrial Holdings",Aniplex of America,A-1 Pictures,Manga,PG-13 - Teens 13 or older,1442330,69557,78753,1036649.0,39315,0.0,253277.0,2014.0
8.74,30,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",TV,13.0,2017-07-07,2017-09-29,Summer 2017,"Media Factory, AT-X, Takeshobo, Sony Music Communications, Kadokawa Media House, Cygames, Kanetsu Investment, Global Solutions",Sentai Filmworks,Kinema Citrus,Web manga,R - 17+ (violence & profanity),862410,30354,54029,550412.0,20178,0.0,225771.0,2017.0
8.74,31,"Comedy, Psychological, Romance, School, Seinen",TV,12.0,2020-04-11,2020-06-27,Spring 2020,"Aniplex, Mainichi Broadcasting System, Shueisha, JR East Marketing & Communications",Aniplex of America,A-1 Pictures,Manga,PG-13 - Teens 13 or older,654744,14682,74635,443172.0,9524,4344.0,0.0,2020.0
8.73,32,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,4.0,1999-02-20,1999-09-22,Winter 1999,Aniplex,"ADV Films, Aniplex of America",Studio Deen,Manga,R - 17+ (violence & profanity),228484,6111,6359,150183.0,3124,1836.0,0.0,1999.0
8.73,33,"Comedy, Sports, Drama, School, Shounen",TV,25.0,2015-10-04,2016-03-27,Fall 2015,"TOHO animation, Shueisha",Sentai Filmworks,Production I.G,Manga,PG-13 - Teens 13 or older,874150,13879,45223,736157.0,11154,4991.0,76625.0,2015.0
8.72,34,"Action, Adventure, Fantasy",Movie,1.0,1997-07-12,1997-07-12,Summer 1997,"Tokuma Shoten, Nippon Television Network",GKIDS,Studio Ghibli,Original,PG-13 - Teens 13 or older,876813,17114,11422,735624.0,3384,0.0,124997.0,1997.0
8.72,35,"Action, Military, Sci-Fi, Super Power, Drama, Mecha, School",TV,25.0,2006-10-06,2007-07-29,Fall 2006,"Bandai Visual, Mainichi Broadcasting System, Bandai, Sony Music Entertainment, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Funimation, Bandai Entertainment",Sunrise,Original,R - 17+ (violence & profanity),1583882,90487,69924,1209288.0,40874,30864.0,232932.0,2006.0
8.72,36,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",TV,10.0,2014-04-05,2014-06-21,Spring 2014,"Aniplex, Kodansha, Delfi Sound",Aniplex of America,Artland,Manga,PG-13 - Teens 13 or older,226522,1393,12585,113559.0,6095,2606.0,91677.0,2014.0
8.7,37,"Slice of Life, Comedy, Drama, School, Shounen",TV,43.0,1999-06-30,2000-09-17,Spring 1999,"Aniplex, Fuji TV","Discotek Media, Tokyopop",Studio Pierrot,Manga,R - 17+ (violence & profanity),589324,20870,44940,334925.0,32815,18032.0,158612.0,1999.0
8.69,38,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",TV,26.0,2005-10-23,2006-06-19,Fall 2005,"Avex Entertainment, Marvelous, SKY Perfect Well Think, Delfi Sound",Funimation,Artland,Manga,PG-13 - Teens 13 or older,620736,23066,55482,235371.0,42786,0.0,267080.0,2005.0
8.68,39,"Supernatural, Drama, Romance, School",Movie,1.0,2019-06-15,2019-06-15,Spring 2019,"Aniplex, Tokyo MX, Hakuhodo DY Music & Pictures, Nagoya Broadcasting Network, BS11, ABC Animation, Kadokawa",Aniplex of America,CloverWorks,Light novel,PG-13 - Teens 13 or older,359086,6468,8629,259853.0,2035,868.0,87701.0,2019.0
8.67,40,"Action, Drama, Shounen, Slice of Life, Sports",TV,47.0,1980-10-13,1981-08-31,Fall 1980,Annapuru,Unknown,Tokyo Movie Shinsha,Manga,PG-13 - Teens 13 or older,30192,1546,1378,14113.0,657,739.0,13305.0,1980.0
8.67,41,"Adventure, Drama, Fantasy, Romance",Movie,1.0,2004-11-20,2004-11-20,Fall 2004,"d-rights, Tokuma Shoten",Walt Disney Studios,Studio Ghibli,Novel,G - All Ages,847414,17845,8733,754791.0,2283,947.0,80660.0,2004.0
8.67,42,"Comedy, Sports, Drama, Shounen",TV,26.0,2009-01-07,2009-07-01,Winter 2009,"VAP, Kodansha, Nippon Television Network",Unknown,Madhouse,Manga,PG-13 - Teens 13 or older,201421,1598,7005,156501.0,2752,1548.0,33615.0,2009.0
8.67,43,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,13.0,2012-01-03,2012-03-27,Winter 2012,"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha, Sony Music Entertainment","NIS America, Inc.",Brain's Base,Manga,PG-13 - Teens 13 or older,193052,1814,7137,114646.0,3382,1812.0,66075.0,2012.0
8.66,44,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27.0,2007-04-01,2007-09-30,Spring 2007,"TV Tokyo, Aniplex, Dentsu, Konami, Half H.P Studio, Bandai","ADV Films, Bandai Entertainment, Aniplex of America",Gainax,Original,PG-13 - Teens 13 or older,1213765,67916,70769,805570.0,56386,42030.0,239010.0,2007.0
8.65,45,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1.0,2010-02-06,2010-02-06,Winter 2010,"Kadokawa Shoten, Animation Do","Funimation, Bandai Entertainment",Kyoto Animation,Light novel,PG-13 - Teens 13 or older,486871,11585,11330,322186.0,4922,0.0,144580.0,2010.0
8.65,46,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,11.0,2017-04-12,2017-06-21,Spring 2017,"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha",Unknown,Shuka,Manga,PG-13 - Teens 13 or older,134852,930,8129,64091.0,2566,0.0,58492.0,2017.0
8.65,47,"Sci-Fi, Mystery, Horror, Psychological, Thriller, Shounen",TV,12.0,2019-01-10,2019-03-29,Winter 2019,"Aniplex, Dentsu, A-1 Pictures, Fuji TV, Shueisha, CA-Cygames Anime Fund",Aniplex of America,CloverWorks,Manga,R - 17+ (violence & profanity),1133952,32542,78900,863136.0,17950,12852.0,161114.0,2019.0
8.64,48,"Fantasy, Slice of Life",Movie,1.0,2012-07-21,2012-07-21,Summer 2012,"Madhouse, VAP, Dentsu, Yomiuri Telecasting, Kadokawa Shoten, Toho, Hiroshima Television",Funimation,Studio Chizu,Original,PG - Children,616049,10216,11338,448228.0,3366,0.0,151840.0,2012.0
8.64,49,"Slice of Life, Drama, Fantasy",TV,13.0,2018-01-11,2018-04-05,Winter 2018,"Lantis, Pony Canyon, Rakuonsha, ABC Animation",Funimation,Kyoto Animation,Light novel,PG-13 - Teens 13 or older,1039300,34340,92325,615251.0,36485,33681.0,261558.0,2018.0
8.63,50,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen",TV,37.0,2006-10-04,2007-06-27,Fall 2006,"VAP, Konami, Ashi Production, Nippon Television Network, Shueisha",VIZ Media,Madhouse,Manga,R - 17+ (violence & profanity),2589552,145201,122401,2146116.0,75054,0.0,165147.0,2006.0
8.63,51,"Drama, Psychological, Seinen, Sports",TV,11.0,2014-04-11,2014-06-20,Spring 2014,"Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings, Science SARU",Funimation,Tatsunoko Production,Manga,PG-13 - Teens 13 or older,265774,11436,11309,145309.0,7203,5683.0,96270.0,2014.0
8.62,52,"Action, Demons, Historical, Shounen, Supernatural",TV,26.0,2019-04-06,2019-09-28,Spring 2019,"Aniplex, Shueisha",Aniplex of America,ufotable,Manga,R - 17+ (violence & profanity),1423778,51725,154413,1079964.0,24614,0.0,0.0,2019.0
8.61,53,"Mystery, Comedy, Psychological, Romance",TV,11.0,2010-04-23,2010-07-02,Spring 2010,"Dentsu, Kadokawa Shoten, Fuji TV, Toho, Asmik Ace, Tohokushinsha Film Corporation, Sony Music Entertainment, Fujipacific Music",Funimation,Madhouse,Novel,R - 17+ (violence & profanity),307558,14335,19309,114567.0,11664,7132.0,154886.0,2010.0
8.61,54,"Action, Mystery, Supernatural, Vampire",Movie,1.0,2016-08-19,2016-08-19,Summer 2016,"Aniplex, Kodansha",Aniplex of America,Shaft,Light novel,R - 17+ (violence & profanity),305408,1847,6076,227787.0,1737,0.0,69039.0,2016.0
8.61,55,"Action, Adventure, Shounen",TV,39.0,2018-10-06,2019-07-28,Fall 2018,"Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha",VIZ Media,David Production,Manga,R - 17+ (violence & profanity),542642,21884,64809,383733.0,10625,5735.0,77740.0,2018.0
8.6,56,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,13.0,2011-07-05,2011-09-27,Summer 2011,"Aniplex, Sakura Create","NIS America, Inc.",Brain's Base,Manga,PG-13 - Teens 13 or older,200904,1287,7668,125678.0,3752,1978.0,61828.0,2011.0
8.6,57,"Comedy, Sports, Drama, Shounen",TV,25.0,2013-10-06,2014-03-29,Fall 2013,"VAP, Kodansha, Nippon Television Network",Unknown,"Madhouse, MAPPA",Manga,PG-13 - Teens 13 or older,175315,1010,7901,129332.0,2857,1495.0,33730.0,2013.0
8.6,58,"Drama, Historical, Josei",TV,13.0,2016-01-09,2016-04-02,Winter 2016,"Starchild Records, Mainichi Broadcasting System, Kodansha, DAX Production",Unknown,Studio Deen,Manga,PG-13 - Teens 13 or older,223244,4906,16591,84037.0,10218,0.0,105520.0,2016.0
8.59,59,"Action, Supernatural, Magic, Fantasy",TV,12.0,2012-04-08,2012-06-24,Spring 2012,"Aniplex, Nitroplus, Seikaisha, Notes",Aniplex of America,ufotable,Light novel,R - 17+ (violence & profanity),808294,17197,21363,649100.0,8229,0.0,124878.0,2012.0
8.59,60,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,11.0,2016-10-05,2016-12-21,Fall 2016,"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha",Unknown,Shuka,Manga,PG-13 - Teens 13 or older,135177,690,8773,72069.0,2758,1531.0,50046.0,2016.0
8.59,61,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV,12.0,2018-07-23,2018-10-15,Summer 2018,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Funimation,Wit Studio,Manga,R - 17+ (violence & profanity),1212430,14971,62604,991045.0,10271,6048.0,142462.0,2018.0
8.59,62,Drama,Movie,1.0,2018-09-01,2018-09-01,Summer 2018,Aniplex,Aniplex of America,Studio VOLN,Novel,PG-13 - Teens 13 or older,437815,10435,11562,299661.0,2550,947.0,123095.0,2018.0
8.59,63,"Action, Fantasy, Magic, Supernatural",Movie,1.0,2019-01-12,2019-01-12,Winter 2019,"Aniplex, Notes, Kadokawa",Aniplex of America,ufotable,Visual novel,R - 17+ (violence & profanity),200194,2610,4825,121809.0,1433,641.0,71486.0,2019.0
8.58,64,"Comedy, Drama, Romance, Shounen",TV,25.0,2012-10-06,2013-03-30,Fall 2012,"NHK, Shueisha",Unknown,J.C.Staff,Manga,PG-13 - Teens 13 or older,268794,2815,8589,199772.0,4779,0.0,52943.0,2012.0
8.57,65,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,13.0,2009-01-06,2009-03-31,Winter 2009,"Aniplex, Nihon Ad Systems","NIS America, Inc.",Brain's Base,Manga,PG-13 - Teens 13 or older,200649,1413,6961,133333.0,3794,1661.0,54900.0,2009.0
8.57,66,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1.0,2009-04-22,2009-04-22,Spring 2009,Aniplex,Aniplex of America,Gainax,Original,R+ - Mild Nudity,168762,989,3490,112502.0,1445,972.0,50353.0,2009.0
8.57,67,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",Special,1.0,2014-01-04,2014-01-04,Winter 2014,"Aniplex, Kodansha, Delfi Sound",Unknown,Artland,Manga,PG-13 - Teens 13 or older,105796,171,2284,69625.0,937,0.0,32449.0,2014.0
8.57,68,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",TV,12.0,2015-10-05,2015-12-21,Fall 2015,"TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, JR East Marketing & Communications",VIZ Media,Madhouse,Web manga,R - 17+ (violence & profanity),2123866,54435,96568,1841220.0,30271,26755.0,129052.0,2015.0
8.57,69,"Adventure, Comedy, Drama",TV,13.0,2018-01-02,2018-03-27,Winter 2018,"Media Factory, Movic, AT-X, Sony Music Communications, Docomo Anime Store, Kadokawa Media House, Kadokawa, NewGin, Crunchyroll SC Anime Fund",Unknown,Madhouse,Original,PG-13 - Teens 13 or older,344406,10283,27984,168250.0,11331,0.0,129638.0,2018.0
8.56,70,"Action, Mystery, Supernatural, Drama, Romance, Thriller",Movie,1.0,2008-08-16,2008-08-16,Summer 2008,Notes,Aniplex of America,ufotable,Light novel,R - 17+ (violence & profanity),188403,3800,3374,134993.0,1654,663.0,47719.0,2008.0
8.54,71,"Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen",TV,26.0,2004-01-01,2005-01-08,Winter 2004,"Bandai Visual, Dentsu, Victor Entertainment, Kodansha, Tokuma Shoten, Nippon Television Network","Bandai Entertainment, Manga Entertainment",Production I.G,Manga,R - 17+ (violence & profanity),191690,3021,7242,115405.0,5597,2104.0,61342.0,2004.0
8.54,72,"Action, Comedy, School, Shounen",TV,25.0,2016-01-08,2016-07-01,Winter 2016,"Dentsu, Studio Hibari, Fuji TV, DAX Production, Avex Pictures, Shueisha, Kansai Telecasting",Funimation,Lerche,Manga,PG-13 - Teens 13 or older,899476,14144,48245,701408.0,22327,0.0,114398.0,2016.0
8.53,73,"Comedy, Drama, School, Shounen, Sports",TV,101.0,1993-10-16,1996-03-23,Fall 1993,"TV Asahi, Animax","Flatiron Film Company, Geneon Entertainment USA",Toei Animation,Manga,PG-13 - Teens 13 or older,201203,5471,15530,108713.0,12179,7862.0,56919.0,1993.0
8.53,74,"Sci-Fi, Slice of Life, Fantasy, Shounen",TV,13.0,2008-01-08,2008-04-01,Winter 2008,"TV Tokyo, Shochiku, Mag Garden",Nozomi Entertainment,Hal Film Maker,Manga,G - All Ages,98196,3612,3671,30863.0,2498,0.0,58693.0,2008.0
8.53,75,"Comedy, Sports, Drama, School, Shounen",TV,25.0,2014-04-06,2014-09-21,Spring 2014,"Mainichi Broadcasting System, TOHO animation, Shueisha",Sentai Filmworks,Production I.G,Manga,PG-13 - Teens 13 or older,1185274,54887,83029,896822.0,31311,21054.0,153058.0,2014.0
8.53,76,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13.0,2017-10-02,2017-12-25,Fall 2017,"TV Tokyo, Aniplex, Dentsu, Shueisha",Unknown,Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,127958,947,7998,79630.0,2175,1224.0,36931.0,2017.0
8.52,77,"Drama, Historical, Seinen, Thriller",TV,26.0,2010-04-07,2010-09-29,Spring 2010,"VAP, Nippon Television Network",Funimation,Madhouse,Manga,R - 17+ (violence & profanity),304557,7421,20996,135582.0,16102,0.0,119709.0,2010.0
8.52,78,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",Movie,1.0,2010-04-24,2010-04-24,Spring 2010,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha",Sentai Filmworks,Sunrise,Manga,R - 17+ (violence & profanity),116327,559,1782,89025.0,831,637.0,24052.0,2010.0
8.52,79,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99.0,2012-04-01,2014-03-22,Spring 2012,"Aniplex, Dentsu, YTV, Trinity Sound",Sentai Filmworks,A-1 Pictures,Manga,PG-13 - Teens 13 or older,150428,3404,16552,37234.0,13009,6948.0,76685.0,2012.0
8.52,80,"Adventure, Comedy, Fantasy, Magic, Parody, Supernatural",Movie,1.0,2019-08-30,2019-08-30,Summer 2019,Unknown,Unknown,J.C.Staff,Light novel,PG-13 - Teens 13 or older,418555,3814,9060,313650.0,2210,0.0,92158.0,2019.0
8.51,81,"Drama, Historical",Movie,1.0,1988-04-16,1988-04-16,Spring 1988,Unknown,"ADV Films, Central Park Media, Sentai Filmworks",Studio Ghibli,Novel,PG-13 - Teens 13 or older,438214,5407,5927,328347.0,2713,1249.0,0.0,1988.0
8.51,82,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,1.0,1997-07-19,1997-07-19,Summer 1997,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka",Manga Entertainment,"Gainax, Production I.G",Original,R+ - Mild Nudity,572080,17811,8055,482918.0,2462,1499.0,77146.0,1997.0
8.51,83,"Action, Adventure, Comedy, Supernatural, Drama, Shounen",TV,39.0,2016-04-02,2016-12-24,Spring 2016,"Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha",VIZ Media,David Production,Manga,R - 17+ (violence & profanity),625022,23817,43581,494738.0,11163,0.0,69320.0,2016.0
8.51,84,"Sci-Fi, Thriller",TV,23.0,2018-04-12,2018-09-27,Spring 2018,"Frontier Works, Media Factory, Kadokawa Shoten, Movic",Funimation,White Fox,Visual novel,PG-13 - Teens 13 or older,590847,8947,60432,294077.0,19978,12481.0,203879.0,2018.0
8.5,85,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26.0,2004-05-20,2005-03-19,Spring 2004,"Victor Entertainment, Fuji TV, Barnum Studio, Tokuma Shoten, flying DOG","Funimation, Geneon Entertainment USA",Manglobe,Original,R - 17+ (violence & profanity),892196,29414,59611,551621.0,45449,19921.0,215594.0,2004.0
8.5,86,"Sci-Fi, Drama",Movie,1.0,2013-04-20,2013-04-20,Spring 2013,"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, MAGES.",Funimation,White Fox,Visual novel,PG-13 - Teens 13 or older,446967,2275,6960,339621.0,2546,0.0,96822.0,2013.0
8.5,87,"Psychological, Drama, Thriller, Fantasy",TV,13.0,2020-07-08,2020-09-30,Summer 2020,"AT-X, Memory-Tech, Hakuhodo DY Music & Pictures, Kadokawa Media House, Kadokawa",Unknown,White Fox,Light novel,R - 17+ (violence & profanity),614588,10010,97949,330007.0,10285,4982.0,171365.0,2020.0
8.49,88,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25.0,1997-10-08,1998-04-01,Fall 1997,"VAP, Hakusensha, Nippon Television Network","Media Blasters, NYAV Post",OLM,Manga,R+ - Mild Nudity,432190,18567,19540,276588.0,12737,9406.0,113919.0,1997.0
8.49,89,"Action, Slice of Life, Comedy, Supernatural",TV,12.0,2016-07-11,2016-09-27,Summer 2016,"Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan","Funimation, Crunchyroll",Bones,Web manga,PG-13 - Teens 13 or older,1255830,27971,68041,942402.0,26125,0.0,200049.0,2016.0
